Tabelle: 61111-0002
Consumer price index: Germany, months;;;;
Consumer price index for Germany;;;;;;;
Germany;;;;;;;
;;Consumer price index;;Change on previous year's month;;Change on previous month;
;;2020=100;2020=100;in (%);in (%);in (%);in (%)
;July;100.3;e;1.6;e;0.4;e
;August;100.2;e;1.4;e;-0.1;e
;September;100.2;e;1.2;e;-;
;October;100.2;e;1.1;e;-;
;November;99.5;e;1.0;e;-0.7;e
;December;100.0;e;1.5;e;0.5;e
2020;January;99.8;e;2.1;e;-0.2;e
;February;100.1;e;2.0;e;0.3;e
;March;100.3;e;1.8;e;0.2;e
;April;100.4;e;1.0;e;0.1;e
;May;100.4;e;0.8;e;-;
;June;100.5;e;0.6;e;0.1;e
;July;99.7;e;-0.6;e;-0.8;e
;August;99.7;e;-0.5;e;-;
;September;99.7;e;-0.5;e;-;
;October;99.9;e;-0.3;e;0.2;e
;November;99.7;e;0.2;e;-0.2;e
;December;99.8;e;-0.2;e;0.1;e
2021;January;101.0;e;1.2;e;1.2;e
;February;101.6;e;1.5;e;0.6;e
;March;102.1;e;1.8;e;0.5;e
;April;102.4;e;2.0;e;0.3;e
;May;102.6;e;2.2;e;0.2;e
;June;102.9;e;2.4;e;0.3;e
;July;103.4;e;3.7;e;0.5;e
;August;103.5;e;3.8;e;0.1;e
;September;103.8;e;4.1;e;0.3;e
;October;104.3;e;4.4;e;0.5;e
;November;104.5;e;4.8;e;0.2;e
;December;104.7;e;4.9;e;0.2;e
2022;January;105.2;e;4.2;e;0.5;e
;February;106.0;e;4.3;e;0.8;e
;March;108.1;e;5.9;e;2.0;e
;April;108.8;e;6.3;e;0.6;e
;May;109.8;e;7.0;e;0.9;e
;June;109.8;e;6.7;e;-;
;July;110.3;e;6.7;e;0.5;e
;August;110.7;e;7.0;e;0.4;e
;September;112.7;e;8.6;e;1.8;e
;October;113.5;e;8.8;e;0.7;e
;November;113.7;e;8.8;e;0.2;e
;December;113.2;e;8.1;e;-0.4;e
2023;January;114.3;e;8.7;e;1.0;e
;February;115.2;e;8.7;e;0.8;e
;March;116.1;e;7.4;e;0.8;e
;April;116.6;e;7.2;e;0.4;e
;May;116.5;e;6.1;e;-0.1;e
;June;116.8;e;6.4;e;0.3;e
;July;117.1;e;6.2;e;0.3;e
;August;117.5;e;6.1;e;0.3;e
;September;117.8;e;4.5;e;0.3;e
;October;117.8;e;3.8;e;-;
;November;117.3;e;3.2;e;-0.4;e
;December;117.4;e;3.7;e;0.1;e
2024;January;117.6;e;2.9;e;0.2;e
;February;118.1;e;2.5;e;0.4;e
;March;118.6;e;2.2;e;0.4;e
;April;119.2;e;2.2;e;0.5;e
;May;119.3;e;2.4;e;0.1;e
;June;119.4;e;2.2;e;0.1;e
;July;119.8;e;2.3;e;0.3;e
;August;119.7;e;1.9;e;-0.1;e
;September;119.7;e;1.6;e;-;
;October;120.2;e;2.0;e;0.4;e
;November;119.9;e;2.2;e;-0.2;e
;December;120.5;e;2.6;e;0.5;e
2025;January;120.3;e;2.3;e;-0.2;e
;February;120.8;e;2.3;e;0.4;e
;March;121.2;e;2.2;e;0.3;e
;April;121.7;e;2.1;e;0.4;e
;May;121.8;e;2.1;e;0.1;e
;June;121.8;e;2.0;e;-;
;July;122.2;e;2.0;e;0.3;e
;August;122.3;e;2.2;e;0.1;e
;September;122.6;e;2.4;e;0.2;e
;October;123.0;e;2.3;e;0.3;e
;November;122.7;e;2.3;e;-0.2;e
;December;122.7;e;1.8;e;-;
2026;January;122.8;e;2.1;e;0.1;e
;February;123.1;e;1.9;e;0.2;e
;March;...;;...;;...;
;April;...;;...;;...;
;May;...;;...;;...;
;June;...;;...;;...;
;July;...;;...;;...;
;August;...;;...;;...;
;September;...;;...;;...;
;October;...;;...;;...;
;November;...;;...;;...;
;December;...;;...;;...;
__________
"December 2024: 
Due to the changeover to the 2025 survey catalog with 
significant classification-related structural changes, 
the results for December 2024 are partially affected in 
quality, especially with regard to the previous month's 
comparison."
© Statistisches Bundesamt (Destatis), 2026
created: 2026-04-02 / 10:25:39
